k,imbalance,lat,lon,region
32,10,40.659527,-73.937035,1
32,10,40.6595435,-74.0024862,2
32,10,40.659571,-73.922501,0
32,10,40.659581,-73.892464,3
32,10,40.659586,-73.947601,1
32,10,40.659598,-73.98448,2
32,10,40.659619,-73.907191,0
32,10,40.659669,-73.995169,2
32,10,40.6596869,-73.8878691,3
32,10,40.659701,-73.878592,3
32,10,40.659718,-73.945336,1
32,10,40.65973,-73.956801,1
32,10,40.659743,-73.874275,3
32,10,40.659745,-73.917074,0
32,10,40.659754,-73.90627,0
32,10,40.6597705,-73.8882958,3
32,10,40.659781,-73.882912,3
32,10,40.659794,-73.980875,2
32,10,40.659814,-73.926464,0
32,10,40.659816,-73.98784,2
32,10,40.659833,-73.8976,0
32,10,40.6598363,-73.8700354,3
32,10,40.6598701,-73.9774753,2
32,10,40.6598702,-73.9637409,1
32,10,40.659891,-73.90535,0
32,10,40.659892,-73.94255,1
32,10,40.6598937,-73.998539,2
32,10,40.659894,-73.8877287,3
32,10,40.6599,-73.91604,0
32,10,40.659933,-73.891649,3
32,10,40.659937,-73.953461,1
32,10,40.6599609,-73.961765,1
32,10,40.6599668,-73.9202035,0
32,10,40.6599788,-73.8871905,3
32,10,40.660019,-73.991217,2
32,10,40.660027,-73.9606,1
32,10,40.660031,-73.921787,0
32,10,40.660034,-73.904385,0
32,10,40.660041,-73.915086,0
32,10,40.660051,-73.917419,0
32,10,40.660052,-73.877733,3
32,10,40.660074,-73.939734,1
32,10,40.6600911,-74.0019201,2
32,10,40.660095,-73.873455,3
32,10,40.6600994,-73.8575882,3
32,10,40.660117,-73.950569,1
32,10,40.660118,-73.8874867,3
32,10,40.6601185,-73.8872105,3
32,10,40.6601239,-73.8865808,3
32,10,40.660137,-73.983918,2
32,10,40.660177,-73.928193,0
32,10,40.660178,-73.903421,0
32,10,40.660181,-73.914131,0
32,10,40.6601933,-73.8691961,3
32,10,40.660217,-73.89674,0
32,10,40.660228,-73.994588,2
32,10,40.660236,-73.937111,1
32,10,40.660277,-73.925749,0
32,10,40.660284,-73.890832,3
32,10,40.6602929,-73.856249,3
32,10,40.660295,-73.936136,1
32,10,40.6603108,-74.0052622,2
32,10,40.660315,-73.902499,0
32,10,40.660319,-73.91321,0
32,10,40.660328,-73.947256,1
32,10,40.660357,-73.935203,0
32,10,40.660362,-73.946645,1
32,10,40.6603843,-73.85582,3
32,10,40.6603851,-73.8683334,3
32,10,40.660396,-73.946088,1
32,10,40.660398,-73.980372,2
32,10,40.660402,-73.876909,3
32,10,40.660413,-73.89631,0
32,10,40.660415,-73.934231,0
32,10,40.660437,-73.945413,1
32,10,40.660442,-73.956875,1
32,10,40.660448,-73.87264,3
32,10,40.660451,-73.90158,0
32,10,40.660455,-73.912292,0
32,10,40.6604735,-73.8866589,3
32,10,40.660504,-73.962814,1
32,10,40.6605162,-73.9980605,2
32,10,40.6605218,-73.8548545,3
32,10,40.660532,-73.932336,0
32,10,40.6605668,-73.9870548,2
32,10,40.660579,-73.990635,2
32,10,40.6605866,-73.86727,3
32,10,40.660587,-73.900661,0
32,10,40.660594,-73.931325,0
32,10,40.660597,-73.911335,0
32,10,40.660599,-73.895885,0
32,10,40.660599,-73.920909,0
32,10,40.6606,-73.960624,1
32,10,40.66061,-73.942611,1
32,10,40.660636,-73.890015,3
32,10,40.660648,-73.953539,1
32,10,40.6606527,-74.0013247,2
32,10,40.660656,-73.93032,0
32,10,40.6606565,-73.919615,0
32,10,40.6606618,-73.8657638,3
32,10,40.660674,-73.8538541,3
32,10,40.6607058,-73.96183,1
32,10,40.660722,-73.977375,1
32,10,40.660726,-73.918185,0
32,10,40.660735,-73.899652,0
